RECNO,Name,StaadName,OD,Tw,AX,I,Z
1,"PIP213.0L","PIP213.0L",2.1300000000000001e+01,2.0000000000000000e+00,1.2100000000000000e+00,5.6999999999999995e-01,5.4000000000000004e-01
2,"PIP213.0M","PIP213.0M",2.1300000000000001e+01,2.6499999999999999e+00,1.5500000000000000e+00,6.8999999999999995e-01,6.5000000000000002e-01
3,"PIP213.0H","PIP213.0H",2.1300000000000001e+01,3.2500000000000000e+00,1.8400000000000001e+00,7.6800000000000002e-01,7.2999999999999998e-01
4,"PIP269.0L","PIP269.0L",2.6899999999999999e+01,2.3500000000000001e+00,1.8100000000000001e+00,1.3799999999999999e+00,1.0200000000000000e+00
5,"PIP269.0M","PIP269.0M",2.6899999999999999e+01,2.6499999999999999e+00,2.0200000000000000e+00,1.5000000000000000e+00,1.1200000000000001e+00
6,"PIP269.0H","PIP269.0H",2.6899999999999999e+01,3.2500000000000000e+00,2.4100000000000001e+00,1.7200000000000000e+00,1.2800000000000000e+00
7,"PIP337.0L","PIP337.0L",3.3700000000000003e+01,2.6499999999999999e+00,2.5800000000000001e+00,3.1400000000000001e+00,1.8600000000000001e+00
8,"PIP337.0M","PIP337.0M",3.3700000000000003e+01,3.2500000000000000e+00,3.1099999999999999e+00,3.6499999999999999e+00,2.1600000000000001e+00
9,"PIP337.0H","PIP337.0H",3.3700000000000003e+01,4.0499999999999998e+00,3.7700000000000000e+00,4.2199999999999998e+00,2.5099999999999998e+00
10,"PIP424.0L","PIP424.0L",4.2399999999999999e+01,2.6499999999999999e+00,3.3100000000000001e+00,6.5700000000000003e+00,3.1000000000000001e+00
11,"PIP424.0M","PIP424.0M",4.2399999999999999e+01,3.2500000000000000e+00,4.0000000000000000e+00,7.7100000000000000e+00,3.6400000000000001e+00
12,"PIP424.0H","PIP424.0H",4.2399999999999999e+01,4.0499999999999998e+00,4.8799999999999999e+00,9.0700000000000003e+00,4.2800000000000002e+00
13,"PIP483.0L","PIP483.0L",4.8299999999999997e+01,2.8999999999999999e+00,4.1399999999999997e+00,1.0699999999999999e+01,4.4299999999999997e+00
14,"PIP483.0M","PIP483.0M",4.8299999999999997e+01,3.2500000000000000e+00,4.5999999999999996e+00,1.1730000000000000e+01,4.8600000000000003e+00
15,"PIP483.0H","PIP483.0H",4.8299999999999997e+01,4.0499999999999998e+00,5.6299999999999999e+00,1.3900000000000000e+01,5.7599999999999998e+00
16,"PIP603.0L1","PIP603.0L1",6.0299999999999997e+01,2.8999999999999999e+00,4.1399999999999997e+00,2.1590000000000000e+01,7.1600000000000001e+00
17,"PIP603.0L2","PIP603.0L2",6.0299999999999997e+01,3.2500000000000000e+00,4.5700000000000003e+00,2.3770000000000000e+01,7.8899999999999997e+00
18,"PIP603.0M","PIP603.0M",6.0299999999999997e+01,3.6499999999999999e+00,5.0999999999999996e+00,2.6170000000000002e+01,8.6799999999999997e+00
19,"PIP603.0H","PIP603.0H",6.0299999999999997e+01,4.5000000000000000e+00,6.1699999999999999e+00,3.0899999999999999e+01,1.0199999999999999e+01
20,"PIP761.0L","PIP761.0L",7.6099999999999994e+01,3.2500000000000000e+00,7.4400000000000004e+00,4.9439999999999998e+01,1.3000000000000000e+01
21,"PIP761.0M","PIP761.0M",7.6099999999999994e+01,3.6499999999999999e+00,8.3100000000000005e+00,5.4649999999999999e+01,1.4400000000000000e+01
22,"PIP761.0H","PIP761.0H",7.6099999999999994e+01,4.5000000000000000e+00,1.0100000000000000e+01,6.5120000000000005e+01,1.7100000000000001e+01
23,"PIP889.0L","PIP889.0L",8.8900000000000006e+01,3.2500000000000000e+00,8.7400000000000002e+00,8.0310000000000002e+01,1.8100000000000001e+01
24,"PIP889.0M","PIP889.0M",8.8900000000000006e+01,4.0499999999999998e+00,1.0800000000000001e+01,9.7379999999999995e+01,2.1899999999999999e+01
25,"PIP889.0H","PIP889.0H",8.8900000000000006e+01,4.8499999999999996e+00,1.2800000000000001e+01,1.1345999999999999e+02,2.5500000000000000e+01
26,"PIP1016.0L","PIP1016.0L",1.0159999999999999e+02,3.6499999999999999e+00,1.1199999999999999e+01,1.3490000000000001e+02,2.6600000000000001e+01
27,"PIP1016.0M","PIP1016.0M",1.0159999999999999e+02,4.0499999999999998e+00,1.2400000000000000e+01,1.4790000000000001e+02,2.9100000000000001e+01
28,"PIP1016.0H","PIP1016.0H",1.0159999999999999e+02,4.8499999999999996e+00,1.4699999999999999e+01,1.7290000000000001e+02,3.4000000000000000e+01
29,"PIP1143.0L","PIP1143.0L",1.1430000000000000e+02,3.6499999999999999e+00,1.2699999999999999e+01,1.9440000000000001e+02,3.4000000000000000e+01
30,"PIP1143.0M","PIP1143.0M",1.1430000000000000e+02,4.5000000000000000e+00,1.5500000000000000e+01,2.3430000000000001e+02,4.1000000000000000e+01
31,"PIP1143.0H","PIP1143.0H",1.1430000000000000e+02,5.4000000000000004e+00,1.8500000000000000e+01,2.7450000000000000e+02,4.8000000000000000e+01
32,"PIP1270.0L","PIP1270.0L",1.2700000000000000e+02,4.5000000000000000e+00,1.7300000000000001e+01,3.2530000000000001e+02,5.1200000000000003e+01
33,"PIP1270.0M","PIP1270.0M",1.2700000000000000e+02,4.8499999999999996e+00,1.8600000000000001e+01,3.4769999999999999e+02,5.4799999999999997e+01
34,"PIP1270.0H","PIP1270.0H",1.2700000000000000e+02,5.4000000000000004e+00,2.0600000000000001e+01,3.8200000000000000e+02,6.0200000000000003e+01
35,"PIP1397.0L","PIP1397.0L",1.3969999999999999e+02,4.5000000000000000e+00,1.9100000000000001e+01,4.3719999999999999e+02,6.2600000000000001e+01
36,"PIP1397.0M","PIP1397.0M",1.3969999999999999e+02,4.8499999999999996e+00,2.0500000000000000e+01,4.6760000000000002e+02,6.6900000000000006e+01
37,"PIP1397.0H","PIP1397.0H",1.3969999999999999e+02,5.4000000000000004e+00,2.2800000000000001e+01,5.1450000000000000e+02,7.3700000000000003e+01
38,"PIP1524.0L","PIP1524.0L",1.5240000000000001e+02,4.5000000000000000e+00,2.0899999999999999e+01,5.7220000000000005e+02,7.5099999999999994e+01
39,"PIP1524.0M","PIP1524.0M",1.5240000000000001e+02,4.8499999999999996e+00,2.2500000000000000e+01,6.1250000000000000e+02,8.0400000000000006e+01
40,"PIP1524.0H","PIP1524.0H",1.5240000000000001e+02,5.4000000000000004e+00,2.4899999999999999e+01,6.7450000000000000e+02,8.8500000000000000e+01
41,"PIP1651.0L","PIP1651.0L",1.6509999999999999e+02,4.5000000000000000e+00,2.2699999999999999e+01,7.3260000000000002e+02,8.8700000000000003e+01
42,"PIP1651.0M","PIP1651.0M",1.6509999999999999e+02,4.8499999999999996e+00,2.4399999999999999e+01,7.8450000000000000e+02,9.5000000000000000e+01
43,"PIP1651.0H","PIP1651.0H",1.6509999999999999e+02,5.4000000000000004e+00,2.7100000000000001e+01,8.6470000000000005e+02,1.0500000000000000e+02
44,"PIP1683.0L","PIP1683.0L",1.6830000000000001e+02,4.5000000000000000e+00,2.3199999999999999e+01,7.7720000000000005e+02,9.2400000000000006e+01
45,"PIP1683.0M","PIP1683.0M",1.6830000000000001e+02,4.8499999999999996e+00,2.4899999999999999e+01,8.3239999999999998e+02,9.8900000000000006e+01
46,"PIP1683.0H1","PIP1683.0H1",1.6830000000000001e+02,5.4000000000000004e+00,2.7600000000000001e+01,9.1770000000000005e+02,1.0900000000000000e+02
47,"PIP1683.0H2","PIP1683.0H2",1.6830000000000001e+02,6.2999999999999998e+00,3.2100000000000001e+01,1.0530000000000000e+03,1.2500000000000000e+02
