RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy,R1,R2,Rivet Dia1,Rivet Dia2,G1,G2,G3,h1
1,"ISLB75","ISLB75",7.7000000000000002e+00,7.5000000000000000e+01,5.0000000000000000e+01,5.0000000000000000e+00,3.7000000000000002e+00,7.3000000000000000e+01,5.9999999999999998e-01,9.0000000000000002e-01,1.0000000000000000e+01,2.1000000000000000e+01,6.0000000000000000e+00,6.5000000000000000e+00,2.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+01,0.0000000000000000e+00,0,5.1700000000000003e+01
2,"ISJB150","ISJB150",9.0000000000000000e+00,1.5000000000000000e+02,5.0000000000000000e+01,4.5999999999999996e+00,3.0000000000000000e+00,3.2200000000000000e+02,5.0000000000000000e-01,2.1000000000000001e+00,9.0000000000000000e+00,4.8000000000000000e+01,6.0000000000000000e+00,5.0000000000000000e+00,1.5000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+01,0.0000000000000000e+00,45,1.3040000000000001e+02
3,"ISLB100","ISLB100",1.0199999999999999e+01,1.0000000000000000e+02,5.0000000000000000e+01,6.4000000000000004e+00,4.0000000000000000e+00,1.6800000000000000e+02,1.1000000000000001e+00,1.3000000000000000e+00,1.3000000000000000e+01,3.8000000000000000e+01,8.0000000000000000e+00,7.0000000000000000e+00,3.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+01,0.0000000000000000e+00,50,7.3000000000000000e+01
4,"ISJB175","ISJB175",1.0300000000000001e+01,1.7500000000000000e+02,5.0000000000000000e+01,4.7999999999999998e+00,3.2000000000000002e+00,4.7900000000000000e+02,5.9999999999999998e-01,2.7000000000000002e+00,1.0000000000000000e+01,6.3000000000000000e+01,6.0000000000000000e+00,5.0000000000000000e+00,1.5000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+01,0.0000000000000000e+00,45,1.5500000000000000e+02
5,"ISJB200","ISJB200",1.2600000000000000e+01,2.0000000000000000e+02,6.0000000000000000e+01,5.0000000000000000e+00,3.3999999999999999e+00,7.8100000000000000e+02,8.0000000000000004e-01,2.8999999999999999e+00,1.7000000000000000e+01,8.9000000000000000e+01,1.0000000000000000e+01,5.0000000000000000e+00,1.5000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+01,0.0000000000000000e+00,45,1.7950000000000000e+02
6,"ISMB100","ISMB100",1.4600000000000000e+01,1.0000000000000000e+02,7.5000000000000000e+01,7.2000000000000002e+00,4.0000000000000000e+00,2.5800000000000000e+02,2.1000000000000001e+00,1.1000000000000001e+00,4.1000000000000000e+01,5.7000000000000000e+01,2.1000000000000000e+01,9.0000000000000000e+00,4.5000000000000000e+00,1.2000000000000000e+01,0.0000000000000000e+00,3.5000000000000000e+01,0.0000000000000000e+00,55,6.5000000000000000e+01
7,"ISLB125","ISLB125",1.5100000000000000e+01,1.2500000000000000e+02,7.5000000000000000e+01,6.5000000000000000e+00,4.4000000000000004e+00,4.0700000000000000e+02,1.8000000000000000e+00,1.6000000000000001e+00,4.3000000000000000e+01,7.2000000000000000e+01,1.9000000000000000e+01,8.0000000000000000e+00,3.0000000000000000e+00,1.2000000000000000e+01,0.0000000000000000e+00,3.5000000000000000e+01,0.0000000000000000e+00,50,9.5400000000000006e+01
8,"ISJB225","ISJB225",1.6300000000000001e+01,2.2500000000000000e+02,8.0000000000000000e+01,5.0000000000000000e+00,3.7000000000000002e+00,1.3090000000000000e+03,1.1000000000000001e+00,3.2999999999999998e+00,4.1000000000000000e+01,1.3100000000000000e+02,1.7000000000000000e+01,6.5000000000000000e+00,1.5000000000000000e+00,1.2000000000000000e+01,0.0000000000000000e+00,4.0000000000000000e+01,0.0000000000000000e+00,45,2.0109999999999999e+02
9,"ISMB125","ISMB125",1.6600000000000001e+01,1.2500000000000000e+02,7.5000000000000000e+01,7.5999999999999996e+00,4.4000000000000004e+00,4.4900000000000000e+02,2.6000000000000001e+00,1.5000000000000000e+00,4.4000000000000000e+01,8.0000000000000000e+01,2.2000000000000000e+01,9.0000000000000000e+00,4.5000000000000000e+00,1.2000000000000000e+01,0.0000000000000000e+00,3.5000000000000000e+01,0.0000000000000000e+00,55,8.9200000000000003e+01
10,"ISLB150","ISLB150",1.8100000000000001e+01,1.5000000000000000e+02,8.0000000000000000e+01,6.7999999999999998e+00,4.7999999999999998e+00,6.8800000000000000e+02,2.2999999999999998e+00,2.0000000000000000e+00,5.5000000000000000e+01,1.0000000000000000e+02,2.3000000000000000e+01,9.5000000000000000e+00,3.0000000000000000e+00,1.2000000000000000e+01,0.0000000000000000e+00,4.0000000000000000e+01,0.0000000000000000e+00,50,1.1690000000000001e+02
11,"ISMB150","ISMB150",1.9000000000000000e+01,1.5000000000000000e+02,8.0000000000000000e+01,7.5999999999999996e+00,4.7999999999999998e+00,7.2600000000000000e+02,3.0000000000000000e+00,1.8000000000000000e+00,5.3000000000000000e+01,1.0800000000000000e+02,2.5000000000000000e+01,9.0000000000000000e+00,4.5000000000000000e+00,1.2000000000000000e+01,0.0000000000000000e+00,4.0000000000000000e+01,0.0000000000000000e+00,55,1.1390000000000001e+02
12,"ISLB175","ISLB175",2.1300000000000001e+01,1.7500000000000000e+02,9.0000000000000000e+01,6.9000000000000004e+00,5.0999999999999996e+00,1.0960000000000000e+03,2.7999999999999998e+00,2.2999999999999998e+00,8.0000000000000000e+01,1.3800000000000000e+02,2.9000000000000000e+01,9.5000000000000000e+00,3.0000000000000000e+00,1.2000000000000000e+01,0.0000000000000000e+00,5.0000000000000000e+01,0.0000000000000000e+00,50,1.4159999999999999e+02
13,"ISWB150","ISWB150",2.1699999999999999e+01,1.5000000000000000e+02,1.0000000000000000e+02,7.0000000000000000e+00,5.4000000000000004e+00,8.3900000000000000e+02,3.1000000000000001e+00,1.7000000000000000e+00,9.5000000000000000e+01,1.2500000000000000e+02,3.6000000000000000e+01,8.0000000000000000e+00,4.0000000000000000e+00,1.6000000000000000e+01,0.0000000000000000e+00,5.5000000000000000e+01,0.0000000000000000e+00,55,1.1659999999999999e+02
14,"ISMB175","ISMB175",2.4600000000000001e+01,1.7500000000000000e+02,9.0000000000000000e+01,8.5999999999999996e+00,5.5000000000000000e+00,1.2720000000000000e+03,4.9000000000000004e+00,2.2000000000000002e+00,8.5000000000000000e+01,1.6300000000000000e+02,3.6000000000000000e+01,1.0000000000000000e+01,5.0000000000000000e+00,1.2000000000000000e+01,0.0000000000000000e+00,5.0000000000000000e+01,0.0000000000000000e+00,55,1.3450000000000000e+02
15,"ISLB200","ISLB200",2.5300000000000001e+01,2.0000000000000000e+02,1.0000000000000000e+02,7.2999999999999998e+00,5.4000000000000004e+00,1.6970000000000000e+03,3.7000000000000002e+00,2.6000000000000001e+00,1.1500000000000000e+02,1.8700000000000000e+02,3.8000000000000000e+01,9.5000000000000000e+00,3.0000000000000000e+00,1.6000000000000000e+01,0.0000000000000000e+00,5.5000000000000000e+01,0.0000000000000000e+00,50,1.6569999999999999e+02
16,"ISWB175","ISWB175",2.8100000000000001e+01,1.7500000000000000e+02,1.2500000000000000e+02,7.4000000000000004e+00,5.7999999999999998e+00,1.5090000000000000e+03,4.5999999999999996e+00,1.8999999999999999e+00,1.8900000000000000e+02,1.9200000000000000e+02,5.9000000000000000e+01,8.0000000000000000e+00,4.0000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,6.5000000000000000e+01,0.0000000000000000e+00,55,1.3950000000000000e+02
17,"ISLB225","ISLB225",2.9899999999999999e+01,2.2500000000000000e+02,1.0000000000000000e+02,8.5999999999999996e+00,5.7999999999999998e+00,2.5020000000000000e+03,5.9000000000000004e+00,2.8999999999999999e+00,1.1300000000000000e+02,2.4900000000000000e+02,4.5000000000000000e+01,1.2000000000000000e+01,6.0000000000000000e+00,1.6000000000000000e+01,0.0000000000000000e+00,5.5000000000000000e+01,0.0000000000000000e+00,55,1.8030000000000001e+02
18,"ISMB200","ISMB200",3.2299999999999997e+01,2.0000000000000000e+02,1.0000000000000000e+02,1.0800000000000001e+01,5.7000000000000002e+00,2.2350000000000000e+03,1.0000000000000000e+01,2.2999999999999998e+00,1.5000000000000000e+02,2.5000000000000000e+02,5.5000000000000000e+01,1.1000000000000000e+01,5.5000000000000000e+00,1.6000000000000000e+01,0.0000000000000000e+00,5.5000000000000000e+01,0.0000000000000000e+00,60,1.5269999999999999e+02
19,"ISHB150","ISHB150",3.4500000000000000e+01,1.5000000000000000e+02,1.5000000000000000e+02,9.0000000000000000e+00,5.4000000000000004e+00,1.4560000000000000e+03,8.4000000000000004e+00,1.3000000000000000e+00,4.3200000000000000e+02,2.1400000000000000e+02,1.0200000000000000e+02,8.0000000000000000e+00,4.0000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,5.5000000000000000e+01,0.0000000000000000e+00,55,1.1200000000000000e+02
20,"ISLB250","ISLB250",3.5500000000000000e+01,2.5000000000000000e+02,1.2500000000000000e+02,8.1999999999999993e+00,6.0999999999999996e+00,3.7180000000000000e+03,6.7000000000000002e+00,3.2000000000000002e+00,1.9300000000000000e+02,3.3100000000000000e+02,6.6000000000000000e+01,1.3000000000000000e+01,6.5000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,6.5000000000000000e+01,0.0000000000000000e+00,60,2.0259999999999999e+02
21,"ISWB200","ISWB200",3.6700000000000003e+01,2.0000000000000000e+02,1.4000000000000000e+02,9.0000000000000000e+00,6.0999999999999996e+00,2.6250000000000000e+03,8.5999999999999996e+00,2.1000000000000001e+00,3.2900000000000000e+02,2.9100000000000000e+02,9.0000000000000000e+01,9.0000000000000000e+00,4.5000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+01,0.0000000000000000e+00,55,1.5880000000000001e+02
22,"ISHB150A","ISHB150A",3.9000000000000000e+01,1.5000000000000000e+02,1.5000000000000000e+02,9.0000000000000000e+00,8.4000000000000004e+00,1.5400000000000000e+03,1.0400000000000000e+01,1.7000000000000000e+00,4.6000000000000000e+02,2.2700000000000000e+02,1.0400000000000000e+02,8.0000000000000000e+00,4.0000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,5.5000000000000000e+01,0.0000000000000000e+00,55,1.1200000000000000e+02
23,"ISMB225","ISMB225",3.9700000000000003e+01,2.2500000000000000e+02,1.1000000000000000e+02,1.1800000000000001e+01,6.5000000000000000e+00,3.4420000000000000e+03,1.4600000000000000e+01,2.7000000000000002e+00,2.1800000000000000e+02,3.4300000000000000e+02,7.4000000000000000e+01,1.2000000000000000e+01,6.0000000000000000e+00,2.0000000000000000e+01,0.0000000000000000e+00,6.0000000000000000e+01,0.0000000000000000e+00,60,1.7330000000000001e+02
24,"ISLB275","ISLB275",4.2000000000000000e+01,2.7500000000000000e+02,1.4000000000000000e+02,8.8000000000000007e+00,6.4000000000000004e+00,5.3750000000000000e+03,9.0000000000000000e+00,3.5000000000000000e+00,2.8700000000000000e+02,4.3400000000000000e+02,8.9000000000000000e+01,1.4000000000000000e+01,7.0000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+01,0.0000000000000000e+00,60,2.2369999999999999e+02
25,"ISWB225","ISWB225",4.3200000000000003e+01,2.2500000000000000e+02,1.5000000000000000e+02,9.9000000000000004e+00,6.4000000000000004e+00,3.9210000000000000e+03,1.2100000000000000e+01,2.3999999999999999e+00,4.4900000000000000e+02,3.8700000000000000e+02,1.1300000000000000e+02,9.0000000000000000e+00,4.5000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,9.0000000000000000e+01,0.0000000000000000e+00,55,1.8140000000000001e+02
26,"ISHB150B","ISHB150B",4.4100000000000001e+01,1.5000000000000000e+02,1.5000000000000000e+02,9.0000000000000000e+00,1.1800000000000001e+01,1.6360000000000000e+03,1.5199999999999999e+01,2.0000000000000000e+00,4.9500000000000000e+02,2.4200000000000000e+02,1.0600000000000000e+02,8.0000000000000000e+00,4.0000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,5.5000000000000000e+01,0.0000000000000000e+00,55,1.1200000000000000e+02
27,"ISHB200","ISHB200",4.7500000000000000e+01,2.0000000000000000e+02,2.0000000000000000e+02,9.0000000000000000e+00,6.0999999999999996e+00,3.6080000000000000e+03,1.1600000000000000e+01,1.7000000000000000e+00,9.6700000000000000e+02,3.9400000000000000e+02,1.8200000000000000e+02,9.0000000000000000e+00,4.5000000000000000e+00,2.2000000000000000e+01,3.2000000000000000e+01,1.4000000000000000e+02,1.0000000000000000e+02,55,1.5840000000000001e+02
28,"ISMB250","ISMB250",4.7500000000000000e+01,2.5000000000000000e+02,1.2500000000000000e+02,1.2500000000000000e+01,6.9000000000000004e+00,5.1320000000000000e+03,1.9699999999999999e+01,2.8999999999999999e+00,3.3500000000000000e+02,4.5800000000000000e+02,1.0000000000000000e+02,1.3000000000000000e+01,6.5000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,6.5000000000000000e+01,0.0000000000000000e+00,65,1.9409999999999999e+02
29,"ISLB300","ISLB300",4.8100000000000001e+01,3.0000000000000000e+02,1.5000000000000000e+02,9.4000000000000004e+00,6.7000000000000002e+00,7.3330000000000000e+03,1.1699999999999999e+01,3.7000000000000002e+00,3.7600000000000000e+02,5.4200000000000000e+02,1.0900000000000000e+02,1.5000000000000000e+01,7.5000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,9.0000000000000000e+01,0.0000000000000000e+00,60,2.4509999999999999e+02
30,"ISHB200A","ISHB200A",5.0899999999999999e+01,2.0000000000000000e+02,2.0000000000000000e+02,9.0000000000000000e+00,7.7999999999999998e+00,3.7220000000000000e+03,1.3199999999999999e+01,2.0000000000000000e+00,9.9500000000000000e+02,4.0800000000000000e+02,1.8300000000000000e+02,9.0000000000000000e+00,4.5000000000000000e+00,2.2000000000000000e+01,3.2000000000000000e+01,1.4000000000000000e+02,1.0000000000000000e+02,55,1.5840000000000001e+02
31,"ISWB250","ISWB250",5.2000000000000000e+01,2.5000000000000000e+02,2.0000000000000000e+02,9.0000000000000000e+00,6.7000000000000002e+00,5.9430000000000000e+03,1.2600000000000000e+01,2.3999999999999999e+00,8.5800000000000000e+02,5.2400000000000000e+02,1.8300000000000000e+02,1.1000000000000000e+01,5.5000000000000000e+00,2.2000000000000000e+01,3.2000000000000000e+01,1.4000000000000000e+02,1.0000000000000000e+02,60,2.0380000000000001e+02
32,"ISLB325","ISLB325",5.4899999999999999e+01,3.2500000000000000e+02,1.6500000000000000e+02,9.8000000000000007e+00,7.0000000000000000e+00,9.8750000000000000e+03,1.4500000000000000e+01,3.8999999999999999e+00,5.1100000000000000e+02,6.7300000000000000e+02,1.3700000000000000e+02,1.6000000000000000e+01,8.0000000000000000e+00,2.5000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+02,0.0000000000000000e+00,65,2.6650000000000000e+02
