RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy,R1,R2,Rivet Dia1,Rivet Dia2,G1,G2,G3,h1
33,"ISHB225","ISHB225",5.4899999999999999e+01,2.2500000000000000e+02,2.2500000000000000e+02,9.0999999999999996e+00,6.5000000000000000e+00,5.2800000000000000e+03,1.3800000000000001e+01,1.8999999999999999e+00,1.3540000000000000e+03,5.1200000000000000e+02,2.3300000000000000e+02,1.0000000000000000e+01,5.0000000000000000e+00,2.8000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,55,1.8050000000000000e+02
34,"ISMB300","ISMB300",5.6299999999999997e+01,3.0000000000000000e+02,1.4000000000000000e+02,1.2400000000000000e+01,7.5000000000000000e+00,8.6040000000000000e+03,2.2699999999999999e+01,3.6000000000000001e+00,4.5400000000000000e+02,6.4100000000000000e+02,1.2500000000000000e+02,1.4000000000000000e+01,7.0000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+01,0.0000000000000000e+00,65,2.4150000000000000e+02
35,"ISHB225A","ISHB225A",5.9700000000000003e+01,2.2500000000000000e+02,2.2500000000000000e+02,9.0999999999999996e+00,8.5999999999999996e+00,5.4790000000000000e+03,1.6500000000000000e+01,2.2999999999999998e+00,1.3970000000000000e+03,5.3400000000000000e+02,2.3400000000000000e+02,1.0000000000000000e+01,5.0000000000000000e+00,2.8000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,55,1.8050000000000000e+02
36,"ISWB300","ISWB300",6.1299999999999997e+01,3.0000000000000000e+02,2.0000000000000000e+02,1.0000000000000000e+01,7.4000000000000004e+00,9.8220000000000000e+03,1.8000000000000000e+01,3.2000000000000002e+00,9.9000000000000000e+02,7.2500000000000000e+02,2.0400000000000000e+02,1.1000000000000000e+01,5.5000000000000000e+00,2.2000000000000000e+01,3.2000000000000000e+01,1.4000000000000000e+02,1.0000000000000000e+02,60,2.5009999999999999e+02
37,"ISLB350","ISLB350",6.3000000000000000e+01,3.5000000000000000e+02,1.6500000000000000e+02,1.1400000000000000e+01,7.4000000000000004e+00,1.3158000000000000e+04,2.1699999999999999e+01,4.2000000000000002e+00,6.3200000000000000e+02,8.3500000000000000e+02,1.6000000000000000e+02,1.6000000000000000e+01,8.0000000000000000e+00,2.5000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+02,0.0000000000000000e+00,65,2.8830000000000001e+02
38,"ISHB250","ISHB250",6.5000000000000000e+01,2.5000000000000000e+02,2.5000000000000000e+02,9.6999999999999993e+00,6.9000000000000004e+00,7.7370000000000000e+03,1.8600000000000001e+01,2.1000000000000001e+00,1.9610000000000000e+03,6.7400000000000000e+02,3.0600000000000000e+02,1.0000000000000000e+01,5.0000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,60,2.0350000000000000e+02
39,"ISMB350","ISMB350",6.6700000000000003e+01,3.5000000000000000e+02,1.4000000000000000e+02,1.4199999999999999e+01,8.0999999999999996e+00,1.3630000000000000e+04,3.4000000000000000e+01,4.4000000000000004e+00,5.3800000000000000e+02,8.7700000000000000e+02,1.4400000000000000e+02,1.4000000000000000e+01,7.0000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+01,0.0000000000000000e+00,65,2.8800000000000000e+02
40,"ISHB250A","ISHB250A",6.9700000000000003e+01,2.5000000000000000e+02,2.5000000000000000e+02,9.6999999999999993e+00,8.8000000000000007e+00,7.9840000000000000e+03,2.1500000000000000e+01,2.5000000000000000e+00,2.0120000000000000e+03,7.0000000000000000e+02,3.0800000000000000e+02,1.0000000000000000e+01,5.0000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,60,2.0350000000000000e+02
41,"ISLB400","ISLB400",7.2400000000000006e+01,4.0000000000000000e+02,1.6500000000000000e+02,1.2500000000000000e+01,8.0000000000000000e+00,1.9306000000000000e+04,2.9199999999999999e+01,5.0999999999999996e+00,7.1600000000000000e+02,1.0800000000000000e+03,1.7600000000000000e+02,1.6000000000000000e+01,8.0000000000000000e+00,2.5000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+02,0.0000000000000000e+00,65,3.3619999999999999e+02
42,"ISWB350","ISWB350",7.2500000000000000e+01,3.5000000000000000e+02,2.0000000000000000e+02,1.1400000000000000e+01,8.0000000000000000e+00,1.5522000000000000e+04,2.6600000000000001e+01,3.8999999999999999e+00,1.1760000000000000e+03,9.8600000000000000e+02,2.3300000000000000e+02,1.2000000000000000e+01,6.0000000000000000e+00,2.2000000000000000e+01,3.2000000000000000e+01,1.4000000000000000e+02,1.0000000000000000e+02,60,2.9550000000000000e+02
43,"ISHB300","ISHB300",7.4799999999999997e+01,3.0000000000000000e+02,2.5000000000000000e+02,1.0600000000000000e+01,7.5999999999999996e+00,1.2545000000000000e+04,2.5100000000000001e+01,2.7999999999999998e+00,2.1940000000000000e+03,9.1500000000000000e+02,3.3500000000000000e+02,1.1000000000000000e+01,5.5000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,60,2.4980000000000001e+02
44,"ISMB400","ISMB400",7.8500000000000000e+01,4.0000000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,8.9000000000000004e+00,2.0458000000000000e+04,4.9200000000000003e+01,5.2000000000000002e+00,6.2200000000000000e+02,1.1610000000000000e+03,1.6400000000000000e+02,1.4000000000000000e+01,7.0000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+01,0.0000000000000000e+00,70,3.3439999999999998e+02
45,"ISHB300A","ISHB300A",8.0299999999999997e+01,3.0000000000000000e+02,2.5000000000000000e+02,1.0600000000000000e+01,9.4000000000000004e+00,1.2950000000000000e+04,2.8899999999999999e+01,3.2000000000000002e+00,2.2470000000000000e+03,9.5000000000000000e+02,3.3700000000000000e+02,1.1000000000000000e+01,5.5000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,60,2.4980000000000001e+02
46,"ISLB450","ISLB450",8.3099999999999994e+01,4.5000000000000000e+02,1.7000000000000000e+02,1.3400000000000000e+01,8.5999999999999996e+00,2.7536000000000000e+04,3.8000000000000000e+01,5.9000000000000004e+00,8.5300000000000000e+02,1.3800000000000000e+03,2.0100000000000000e+02,1.6000000000000000e+01,8.0000000000000000e+00,2.5000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+02,0.0000000000000000e+00,70,3.8400000000000000e+02
47,"ISWB400","ISWB400",8.5000000000000000e+01,4.0000000000000000e+02,2.0000000000000000e+02,1.3000000000000000e+01,8.5999999999999996e+00,2.3427000000000000e+04,3.9000000000000000e+01,4.5999999999999996e+00,1.3880000000000000e+03,1.3070000000000000e+03,2.6700000000000000e+02,1.3000000000000000e+01,6.5000000000000000e+00,2.2000000000000000e+01,3.2000000000000000e+01,1.4000000000000000e+02,1.0000000000000000e+02,65,3.4050000000000000e+02
48,"ISHB350","ISHB350",8.5900000000000006e+01,3.5000000000000000e+02,2.5000000000000000e+02,1.1600000000000000e+01,8.3000000000000007e+00,1.9160000000000000e+04,3.3799999999999997e+01,3.5000000000000000e+00,2.4510000000000000e+03,1.2030000000000000e+03,3.6800000000000000e+02,1.2000000000000000e+01,6.0000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,60,2.9600000000000000e+02
49,"ISHB350A","ISHB350A",9.2200000000000003e+01,3.5000000000000000e+02,2.5000000000000000e+02,1.1600000000000000e+01,1.0100000000000000e+01,1.9803000000000000e+04,3.9100000000000001e+01,3.8999999999999999e+00,2.5110000000000000e+03,1.2510000000000000e+03,3.7100000000000000e+02,1.2000000000000000e+01,6.0000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,60,2.9600000000000000e+02
50,"ISMB450","ISMB450",9.2299999999999997e+01,4.5000000000000000e+02,1.5000000000000000e+02,1.7399999999999999e+01,9.4000000000000004e+00,3.0391000000000000e+04,6.7299999999999997e+01,5.9000000000000004e+00,8.3400000000000000e+02,1.5340000000000000e+03,2.0500000000000000e+02,1.5000000000000000e+01,7.5000000000000000e+00,2.2000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+01,0.0000000000000000e+00,70,3.7919999999999999e+02
51,"ISLB500","ISLB500",9.5500000000000000e+01,5.0000000000000000e+02,1.8000000000000000e+02,1.4100000000000000e+01,9.1999999999999993e+00,3.8579000000000000e+04,4.8100000000000001e+01,6.7000000000000002e+00,1.0640000000000000e+03,1.7450000000000000e+03,2.3800000000000000e+02,1.7000000000000000e+01,8.5000000000000000e+00,2.8000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+02,0.0000000000000000e+00,70,4.3019999999999999e+02
52,"ISHB400","ISHB400",9.8700000000000003e+01,4.0000000000000000e+02,2.5000000000000000e+02,1.2699999999999999e+01,9.0999999999999996e+00,2.8084000000000000e+04,4.5700000000000003e+01,4.2999999999999998e+00,2.7280000000000000e+03,1.5490000000000000e+03,4.0500000000000000e+02,1.4000000000000000e+01,7.0000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,65,3.4010000000000002e+02
53,"ISWB450","ISWB450",1.0120000000000000e+02,4.5000000000000000e+02,2.0000000000000000e+02,1.5400000000000000e+01,9.1999999999999993e+00,3.5058000000000000e+04,6.2500000000000000e+01,5.2999999999999998e+00,1.7070000000000000e+03,1.7430000000000000e+03,3.1700000000000000e+02,1.4000000000000000e+01,7.0000000000000000e+00,2.2000000000000000e+01,3.2000000000000000e+01,1.4000000000000000e+02,1.0000000000000000e+02,70,3.8400000000000000e+02
54,"ISHB400A","ISHB400A",1.0470000000000000e+02,4.0000000000000000e+02,2.5000000000000000e+02,1.2699999999999999e+01,1.0600000000000000e+01,2.8824000000000000e+04,5.1399999999999999e+01,4.7000000000000002e+00,2.7830000000000000e+03,1.6020000000000000e+03,4.0700000000000000e+02,1.4000000000000000e+01,7.0000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,65,3.4010000000000002e+02
55,"ISLB550","ISLB550",1.1000000000000000e+02,5.5000000000000000e+02,1.9000000000000000e+02,1.5000000000000000e+01,9.9000000000000004e+00,5.3162000000000000e+04,6.2500000000000000e+01,7.5000000000000000e+00,1.3350000000000000e+03,2.1940000000000000e+03,2.8300000000000000e+02,1.8000000000000000e+01,9.0000000000000000e+00,1.2000000000000000e+01,0.0000000000000000e+00,4.0000000000000000e+01,0.0000000000000000e+00,70,4.7610000000000002e+02
56,"ISMB500","ISMB500",1.1070000000000000e+02,5.0000000000000000e+02,1.8000000000000000e+02,1.7199999999999999e+01,1.0199999999999999e+01,4.5218000000000000e+04,8.1299999999999997e+01,6.5000000000000000e+00,1.3700000000000000e+03,2.0480000000000000e+03,2.9100000000000000e+02,1.7000000000000000e+01,8.5000000000000000e+00,2.8000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+02,0.0000000000000000e+00,75,4.2410000000000002e+02
57,"ISHB450","ISHB450",1.1109999999999999e+02,4.5000000000000000e+02,2.5000000000000000e+02,1.3699999999999999e+01,9.8000000000000007e+00,3.9211000000000000e+04,5.8899999999999999e+01,5.0999999999999996e+00,2.9850000000000000e+03,1.9320000000000000e+03,4.3800000000000000e+02,1.5000000000000000e+01,7.5000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,65,3.8619999999999999e+02
58,"ISHB450A","ISHB450A",1.1790000000000001e+02,4.5000000000000000e+02,2.5000000000000000e+02,1.3699999999999999e+01,1.1300000000000001e+01,4.0350000000000000e+04,6.6299999999999997e+01,5.5000000000000000e+00,3.0450000000000000e+03,1.9990000000000000e+03,4.4200000000000000e+02,1.5000000000000000e+01,7.5000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,65,3.8619999999999999e+02
59,"ISWB500","ISWB500",1.2120000000000000e+02,5.0000000000000000e+02,2.5000000000000000e+02,1.4699999999999999e+01,9.9000000000000004e+00,5.2291000000000000e+04,7.1500000000000000e+01,5.7999999999999998e+00,2.9880000000000000e+03,2.3320000000000000e+03,4.7100000000000000e+02,1.5000000000000000e+01,7.5000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,70,4.3100000000000000e+02
60,"ISLB600","ISLB600",1.2670000000000000e+02,6.0000000000000000e+02,2.1000000000000000e+02,1.5500000000000000e+01,1.0500000000000000e+01,7.2868000000000000e+04,7.7700000000000003e+01,8.3000000000000007e+00,1.8220000000000000e+03,2.7520000000000000e+03,3.5700000000000000e+02,2.0000000000000000e+01,1.0000000000000000e+01,2.5000000000000000e+01,3.2000000000000000e+01,1.4000000000000000e+02,1.0000000000000000e+02,75,5.2020000000000005e+02
61,"ISMB550","ISMB550",1.3209999999999999e+02,5.5000000000000000e+02,1.9000000000000000e+02,1.9300000000000001e+01,1.1199999999999999e+01,6.4894000000000000e+04,1.2059999999999999e+02,7.2000000000000002e+00,1.8340000000000000e+03,2.6780000000000000e+03,3.6400000000000000e+02,1.8000000000000000e+01,9.0000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+02,0.0000000000000000e+00,75,4.6750000000000000e+02
62,"ISWB550","ISWB550",1.4330000000000001e+02,5.5000000000000000e+02,2.5000000000000000e+02,1.7600000000000001e+01,1.0500000000000000e+01,7.4906000000000000e+04,1.1609999999999999e+02,6.2999999999999998e+00,3.7410000000000000e+03,3.0380000000000000e+03,5.6400000000000000e+02,1.6000000000000000e+01,8.0000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,75,4.7339999999999998e+02
63,"ISMB600","ISMB600",1.5619999999999999e+02,6.0000000000000000e+02,2.1000000000000000e+02,2.0800000000000001e+01,1.2000000000000000e+01,9.1813000000000000e+04,1.6590000000000001e+02,7.7999999999999998e+00,2.6510000000000000e+03,3.4650000000000000e+03,4.7900000000000000e+02,2.0000000000000000e+01,1.0000000000000000e+01,2.5000000000000000e+01,3.2000000000000000e+01,1.4000000000000000e+02,1.0000000000000000e+02,80,5.0969999999999999e+02
64,"ISWB600","ISWB600",1.7040000000000001e+02,6.0000000000000000e+02,2.5000000000000000e+02,2.1300000000000001e+01,1.1199999999999999e+01,1.0619900000000000e+05,1.9630000000000001e+02,6.7999999999999998e+00,4.7030000000000000e+03,3.9520000000000000e+03,6.8300000000000000e+02,1.7000000000000000e+01,8.5000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,80,5.1420000000000005e+02
65,"ISWB600A","ISWB600A",1.8490000000000001e+02,6.0000000000000000e+02,2.5000000000000000e+02,2.3600000000000001e+01,1.1800000000000001e+01,1.1562700000000000e+05,2.6160000000000002e+02,6.7000000000000002e+00,5.2980000000000000e+03,4.3020000000000000e+03,7.5700000000000000e+02,1.8000000000000000e+01,9.0000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,80,5.0789999999999998e+02
